number,value,datetime_start,datetime_complete,duration,params_batch,params_dp,params_lr,params_ls,params_out_c_mult,params_out_ch,params_wd,state
105,0.4209866163402558,2026-08-12 07:12:38.067145,2026-08-12 07:13:20.839038,0 days 00:00:42.771893,64,0.21815615084228476,0.0005193410509912731,0.19345609595825353,3,64,0.0006811563038792069,COMPLETE
106,0.4223123862025866,2026-08-12 07:13:20.905525,2026-08-12 07:14:06.503507,0 days 00:00:45.597982,64,0.1967995291912377,0.0006085360465955992,0.1274858423289017,1,256,0.0018398119580479264,COMPLETE
107,0.4196056542075061,2026-08-12 07:14:06.561423,2026-08-12 07:14:45.259158,0 days 00:00:38.697735,64,0.23320081347321914,0.00046201466592079573,0.3906899357836906,1,128,0.0013518080835718234,COMPLETE
108,0.41970301057605963,2026-08-12 07:14:45.312900,2026-08-12 07:15:27.346974,0 days 00:00:42.034074,64,0.17028780770418273,0.0005913920686544695,0.0984664332526314,1,256,0.0010693626169170584,COMPLETE
109,0.4234738022264263,2026-08-12 07:15:27.417809,2026-08-12 07:16:14.007942,0 days 00:00:46.590133,64,0.15420965029150074,0.0006052031695837431,0.12710592409126045,1,256,0.0012995481729157585,COMPLETE
110,0.41297684058095746,2026-08-12 07:16:14.070146,2026-08-12 07:16:59.351226,0 days 00:00:45.281080,64,0.18158030875050007,0.0006928584680759947,0.0714310926743381,1,256,0.0007943279458465899,COMPLETE
111,0.4198455733235209,2026-08-12 07:16:59.413154,2026-08-12 07:17:48.010763,0 days 00:00:48.597609,64,0.15895774262731724,0.0005592551946513601,0.05855299652521691,1,256,0.0008859057715783966,COMPLETE
112,0.4164836448765131,2026-08-12 07:17:48.082290,2026-08-12 07:18:33.960228,0 days 00:00:45.877938,64,0.1497796373715661,0.0004256762835550351,0.23260896731043954,1,256,0.0018882771407827221,COMPLETE
113,0.4226202344695798,2026-08-12 07:18:34.020057,2026-08-12 07:18:46.909130,0 days 00:00:12.889073,512,0.2521826763409555,0.0003827826428656883,0.04308956586542046,1,256,0.00014411614955254864,COMPLETE
114,0.4163720642702796,2026-08-12 07:18:46.980709,2026-08-12 07:18:59.790951,0 days 00:00:12.810242,512,0.2728412912212485,0.00037092238010472703,0.011702720102518313,3,32,0.00016432211059710727,COMPLETE
115,0.41948725594002256,2026-08-12 07:18:59.845037,2026-08-12 07:19:12.783412,0 days 00:00:12.938375,512,0.2503524217317463,0.00039498449459005904,0.06515396852907361,1,256,0.00020386120735289368,COMPLETE
116,0.41756408334709133,2026-08-12 07:19:12.837718,2026-08-12 07:19:27.971156,0 days 00:00:15.133438,512,0.31301542773680546,0.00029766871807087973,0.1246689049481263,1,128,0.00013298086532179855,COMPLETE
117,0.4141219593399938,2026-08-12 07:19:28.029750,2026-08-12 07:19:40.361580,0 days 00:00:12.331830,512,0.33432708265883804,0.0005243226588433643,0.030519649577796418,2,256,9.271346172797194e-05,COMPLETE
118,0.4183152840994535,2026-08-12 07:19:40.414381,2026-08-12 07:19:53.540920,0 days 00:00:13.126539,512,0.2081630382595197,0.00018419549708089707,0.04883568709313774,1,256,0.0005915085173251286,COMPLETE
119,0.4241388083014767,2026-08-12 07:19:53.607346,2026-08-12 07:20:38.510304,0 days 00:00:44.902958,64,0.24095567327729236,0.0007525666541104927,0.3975367655453972,1,256,0.0010822743751496544,COMPLETE
120,0.41864448591995446,2026-08-12 07:20:38.556403,2026-08-12 07:21:22.552534,0 days 00:00:43.996131,64,0.23710187443800843,0.0007535061078412188,0.3960707604468849,1,256,0.001424491117518539,COMPLETE
121,0.41479008859497385,2026-08-12 07:21:22.619219,2026-08-12 07:21:36.327342,0 days 00:00:13.708123,512,0.2599286180140764,0.00047682376399360744,0.36537959203772524,1,256,5.713190849414812e-05,COMPLETE
122,0.42249643381998453,2026-08-12 07:21:36.388905,2026-08-12 07:21:48.533382,0 days 00:00:12.144477,512,0.2886549343591914,0.0006554329867751493,0.08805568503311258,1,256,0.00034381341423901386,COMPLETE
123,0.4168630520720462,2026-08-12 07:21:48.582742,2026-08-12 07:22:31.052322,0 days 00:00:42.469580,64,0.24454615440167107,0.00026223544530986444,0.03474749058327968,1,128,2.2476339198838318e-05,COMPLETE
124,0.41212832485498035,2026-08-12 07:22:31.111154,2026-08-12 07:22:44.325668,0 days 00:00:13.214514,512,0.21795353085531086,0.0006140224748939762,0.30181003624892544,1,512,1.019574630661627e-05,COMPLETE
125,0.41650704805369243,2026-08-12 07:22:44.375668,2026-08-12 07:23:11.622084,0 days 00:00:27.246416,128,0.19464231566441687,0.0006941005002789541,0.015789555195327955,1,32,2.644546496419842e-05,COMPLETE
126,0.4194835787398857,2026-08-12 07:23:11.714824,2026-08-12 07:23:59.462133,0 days 00:00:47.747309,64,0.2264621682334501,0.0003330877480075118,0.4160026574459265,3,256,0.0011349063691212325,COMPLETE
127,,2026-08-12 07:23:59.522718,2026-08-12 07:24:01.643243,0 days 00:00:02.120525,512,0.18563056107728865,0.0007655396907614692,0.3741606952609439,1,128,8.135302537296717e-05,FAIL
128,0.4169053137686788,2026-08-12 07:27:06.447502,2026-08-12 07:27:19.006342,0 days 00:00:12.558840,512,0.15471657688462134,0.0008505894402694458,0.38566355296097604,1,128,0.0008398800585202665,COMPLETE
129,0.4172445033781096,2026-08-12 07:27:19.070724,2026-08-12 07:27:33.611721,0 days 00:00:14.540997,512,0.29781215187699506,0.0006507219398100156,0.07733700517491811,1,256,0.00032927710330674537,COMPLETE
130,0.4188793547716754,2026-08-12 07:27:33.666621,2026-08-12 07:27:47.030893,0 days 00:00:13.364272,512,0.2665148543655228,0.0005705147629032105,0.13833963739373628,1,256,0.0011740280034349324,COMPLETE
131,0.4116408810667508,2026-08-12 07:27:47.091224,2026-08-12 07:28:00.649436,0 days 00:00:13.558212,512,0.2797674612670107,0.0008252151352151532,0.0970427915605367,1,256,0.0012731397464216744,COMPLETE
132,0.41556652923132553,2026-08-12 07:28:00.706341,2026-08-12 07:28:14.490045,0 days 00:00:13.783704,512,0.23154722800377753,0.000625267529354089,0.08513453078805289,1,256,0.0010130839017558494,COMPLETE
133,0.41897726447143163,2026-08-12 07:28:14.551033,2026-08-12 07:28:28.807051,0 days 00:00:14.256018,512,0.25268393302367254,0.0006187498024958684,0.11877569055493767,2,256,0.0001406367927962572,COMPLETE
134,0.4236668136179515,2026-08-12 07:28:28.863921,2026-08-12 07:29:12.328365,0 days 00:00:43.464444,64,0.17475015058744936,0.0007695217545987076,0.10529078235790727,1,64,0.00022692946535272677,COMPLETE
135,0.42706248558186743,2026-08-12 07:29:12.396744,2026-08-12 07:29:48.815438,0 days 00:00:36.418694,64,0.1649197905002513,0.0008197709427864575,0.10879767789353179,1,64,0.00022526888057010044,COMPLETE
136,0.4190931838124662,2026-08-12 07:29:48.888506,2026-08-12 07:30:30.229224,0 days 00:00:41.340718,64,0.16626836472049888,0.000774089449305218,0.10640491321081615,1,64,0.00011469333133091576,COMPLETE
137,0.4201187633002407,2026-08-12 07:30:30.292052,2026-08-12 07:31:11.221007,0 days 00:00:40.928955,64,0.17659576655804451,0.0008313627028000444,0.3965130633750308,1,64,0.0011074705044882914,COMPLETE
138,0.4213749148634448,2026-08-12 07:31:11.280879,2026-08-12 07:31:52.257898,0 days 00:00:40.977019,64,0.15542663254044303,0.0009278606658313408,0.1561937363995586,3,64,0.00028670413565620446,COMPLETE
139,0.4207387949845097,2026-08-12 07:31:52.315865,2026-08-12 07:32:31.467851,0 days 00:00:39.151986,64,0.17312368547533305,0.0007672113671483981,0.42189445643904383,1,64,0.00017757501735628554,COMPLETE
140,0.42062834464982707,2026-08-12 07:32:31.559446,2026-08-12 07:33:11.606849,0 days 00:00:40.047403,64,0.18396853642354688,0.0008131326531176166,0.10496124252563241,1,64,3.623589119260166e-05,COMPLETE
141,0.42181896756591025,2026-08-12 07:33:11.668732,2026-08-12 07:33:53.863642,0 days 00:00:42.194910,64,0.16506534524726274,0.0008757094693306196,0.37740568059025503,1,64,0.0002457627851280898,COMPLETE
