number,value,datetime_start,datetime_complete,duration,params_accumulation,params_batch,params_dp,params_h_size,params_lr,params_ls,params_n_layers,params_wd,state
57,0.7450459144738982,2026-08-14 08:51:36.645951,2026-08-14 08:53:43.476885,0 days 00:02:06.830934,1,128,0.0533954723537982,512,0.00017715492817319415,0.12340333399947055,1,9.977259097676008e-05,COMPLETE
58,0.7435967784506677,2026-08-14 08:53:43.581769,2026-08-14 09:00:05.706738,0 days 00:06:22.124969,1,32,0.17217477757899,64,0.0001378106769844462,0.21586081037844407,3,8.204471900087498e-05,COMPLETE
59,0.7547383424300694,2026-08-14 09:00:05.770689,2026-08-14 09:02:31.713620,0 days 00:02:25.942931,2,128,0.0017536926906506003,512,0.00021097378635565793,0.3562605280557973,1,7.559970464159863e-05,COMPLETE
60,0.7529176409449356,2026-08-14 09:02:31.767284,2026-08-14 09:06:26.268411,0 days 00:03:54.501127,1,32,0.10157004958100016,128,0.0001560214847776926,0.1847188908552898,1,6.989695936488054e-05,COMPLETE
61,0.4590010709056152,2026-08-14 09:06:26.401015,2026-08-14 09:10:05.268996,0 days 00:03:38.867981,4,64,0.13555648211288016,64,5.097322433057037e-05,0.13756963906406797,3,9.375142489532679e-05,COMPLETE
62,0.7505947093439863,2026-08-14 09:10:05.336389,2026-08-14 09:12:59.974705,0 days 00:02:54.638316,2,128,0.055286350572645096,512,0.0002308504553452069,0.26385013907225,1,0.00029690170068090395,COMPLETE
63,0.7555817178402513,2026-08-14 09:13:00.039919,2026-08-14 09:14:47.780930,0 days 00:01:47.741011,1,256,0.04609014846635852,512,0.00019967707354106464,0.07717956919316564,1,7.127404148306546e-05,COMPLETE
64,0.7490887163445896,2026-08-14 09:14:47.835642,2026-08-14 09:16:25.907876,0 days 00:01:38.072234,1,256,0.0789822870536869,512,0.00019031062838094755,0.08194991734398616,1,7.961457350450738e-05,COMPLETE
65,0.7472917889930235,2026-08-14 09:16:25.961887,2026-08-14 09:18:08.492811,0 days 00:01:42.530924,1,256,0.037289516321427206,512,0.0001775459319978477,0.0662459111754961,1,6.339086129947442e-05,COMPLETE
66,0.7525136074436876,2026-08-14 09:18:08.545917,2026-08-14 09:19:50.609870,0 days 00:01:42.063953,1,256,0.022252740564721832,512,0.00020485366141535322,0.1015929408962086,1,5.600388813071556e-05,COMPLETE
67,0.7475053274083159,2026-08-14 09:19:50.681150,2026-08-14 09:21:42.591499,0 days 00:01:51.910349,1,256,0.05848667655100427,256,0.0002420939971648804,0.021530052767809275,1,0.00014705429585189247,COMPLETE
68,0.7262132350131381,2026-08-14 09:21:42.653920,2026-08-14 09:23:55.236351,0 days 00:02:12.582431,1,256,0.09886342266038403,32,0.00022296220476510542,0.16128311655768524,1,7.296578837597777e-05,COMPLETE
69,0.7602693995333553,2026-08-14 09:23:55.287259,2026-08-14 09:31:28.257670,0 days 00:07:32.970411,1,32,0.046728189117519796,512,0.00011914011225325311,0.057104690296186644,2,6.678834286562204e-05,COMPLETE
70,0.7502422706708032,2026-08-14 09:31:28.360435,2026-08-14 09:37:10.677828,0 days 00:05:42.317393,2,32,0.012653444755249203,64,0.0001261163715153601,0.13357886923847428,2,6.575271118723108e-05,COMPLETE
71,0.7476744786832787,2026-08-14 09:37:10.733386,2026-08-14 09:50:18.705633,0 days 00:13:07.972247,1,32,0.04287905259044206,256,0.00012251680828057504,0.08860607062958971,2,5.8640735076918654e-05,COMPLETE
72,0.7587394714134352,2026-08-14 09:50:18.763874,2026-08-14 09:58:35.572214,0 days 00:08:16.808340,1,32,0.06761543294051618,512,0.00010065621377938438,0.11788906216355612,2,6.997603505603019e-05,COMPLETE
73,0.7541963753406503,2026-08-14 09:58:35.650499,2026-08-14 10:06:34.660496,0 days 00:07:59.009997,1,32,0.07698410983794185,512,0.00010090630786264575,0.11299479764597466,2,8.329889472450077e-05,COMPLETE
74,0.7570978910804175,2026-08-14 10:06:34.719704,2026-08-14 10:15:05.120435,0 days 00:08:30.400731,1,32,0.06666736879386939,512,8.804066786399787e-05,0.055988160292142444,2,7.055697783818951e-05,COMPLETE
75,0.7546156503775989,2026-08-14 10:15:05.178914,2026-08-14 10:24:10.175157,0 days 00:09:04.996243,1,32,0.08710473334793538,512,8.343035028636042e-05,0.06529030186617034,2,7.037154074498484e-05,COMPLETE
