recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
bb09b488-e875-448b-9801-156d15b3962c,179,1775725138103579338,1775725138378827338,275.248,22.002792,2663.0173,8485.052
bb09b488-e875-448b-9801-156d15b3962c,180,1775725138564076338,1775725139610071338,1045.995,6.985937,1326.3973,2676.9417
bb09b488-e875-448b-9801-156d15b3962c,181,1775725139745196338,1775725140345693338,600.497,26.32869,2070.8174,7480.4897
bb09b488-e875-448b-9801-156d15b3962c,182,1775725140430818338,1775725140851191338,420.373,5.084453,2574.139,8481.509
bb09b488-e875-448b-9801-156d15b3962c,183,1775725141071440338,1775725141476813338,405.373,23.36972,2728.9998,8475.973
bb09b488-e875-448b-9801-156d15b3962c,184,1775725141591816338,1775725142407684338,815.868,26.672134,1953.8138,8149.9346
bb09b488-e875-448b-9801-156d15b3962c,185,1775725142652808338,1775725143038555338,385.747,26.871141,2408.7773,8572.427
bb09b488-e875-448b-9801-156d15b3962c,186,1775725143158683338,1775725144089554338,930.871,9.648213,3284.7197,18594.766
bb09b488-e875-448b-9801-156d15b3962c,187,1775725144194679338,1775725144409929338,215.25,9.069699,2253.7778,7029.778
bb09b488-e875-448b-9801-156d15b3962c,188,1775725144615054338,1775725144660054338,45.0,4.289274,1451.1168,2389.3394
bb09b488-e875-448b-9801-156d15b3962c,189,1775725144750179338,1775725144850303338,100.124,0.624811,1188.3864,1946.6909
bb09b488-e875-448b-9801-156d15b3962c,190,1775725144940304338,1775725145115553338,175.249,3.1915886,1478.0519,3291.4495
bb09b488-e875-448b-9801-156d15b3962c,191,1775725145200553338,1775725145285678338,85.125,3.9887874,1370.0659,2436.3682
bb09b488-e875-448b-9801-156d15b3962c,192,1775725145435806338,1775725145741053338,305.247,14.475069,2252.0679,8703.313
bb09b488-e875-448b-9801-156d15b3962c,193,1775725145871178338,1775725146141428338,270.25,1.3875036,1429.0652,2927.543
bb09b488-e875-448b-9801-156d15b3962c,194,1775725146316678338,1775725146822177338,505.499,25.839006,3200.5535,8235.763
bb09b488-e875-448b-9801-156d15b3962c,195,1775725146907177338,1775725146947177338,40.0,4.363173,1817.9894,2955.0276
bb09b488-e875-448b-9801-156d15b3962c,196,1775725147072302338,1775725147212427338,140.125,13.32,2401.7014,5065.9614
bb09b488-e875-448b-9801-156d15b3962c,197,1775725147347552338,1775725147432677338,85.125,1.2432846,1159.4644,2088.634
bb09b488-e875-448b-9801-156d15b3962c,198,1775725147527802338,1775725147547802338,20.0,1.5999318,1120.4852,1596.2859
bb09b488-e875-448b-9801-156d15b3962c,199,1775725147637930338,1775725147773052338,135.122,12.088627,1992.5876,5272.3896
bb09b488-e875-448b-9801-156d15b3962c,200,1775725147963177338,1775725147978177338,15.0,1.1304657,1120.4713,1689.9453
bb09b488-e875-448b-9801-156d15b3962c,201,1775725148343552338,1775725149069176338,725.624,23.63357,2254.112,10067.395
bb09b488-e875-448b-9801-156d15b3962c,202,1775725149149301338,1775725149314426338,165.125,27.220654,3233.4744,8504.305
bb09b488-e875-448b-9801-156d15b3962c,203,1775725149454554338,1775725149474551338,19.997,1.5382805,1195.3252,1504.4802
bb09b488-e875-448b-9801-156d15b3962c,204,1775725149614676338,1775725149634801338,20.125,1.2774104,1301.4186,1939.2628
bb09b488-e875-448b-9801-156d15b3962c,205,1775725149739801338,1775725150075176338,335.375,22.76096,2676.2734,11013.912
bb09b488-e875-448b-9801-156d15b3962c,206,1775725150215300338,1775725150575679338,360.379,0.40431318,1369.7821,2759.526
bb09b488-e875-448b-9801-156d15b3962c,207,1775725150700678338,1775725150810800338,110.122,1.0210544,1341.9146,2574.403
bb09b488-e875-448b-9801-156d15b3962c,208,1775725150890925338,1775725151226182338,335.257,1.6771939,1471.4082,2799.1702
bb09b488-e875-448b-9801-156d15b3962c,209,1775725151301300338,1775725153062924338,1761.624,2.2542064,1403.2305,3234.1155
bb09b488-e875-448b-9801-156d15b3962c,210,1775725153148049338,1775725153188049338,40.0,2.7925189,1580.7119,2859.9116
bb09b488-e875-448b-9801-156d15b3962c,211,1775725153273173338,1775725153688548338,415.375,1.1769369,1667.4303,5760.242
bb09b488-e875-448b-9801-156d15b3962c,212,1775725153768548338,1775725154539298338,770.75,3.1000981,1511.6034,3406.544
bb09b488-e875-448b-9801-156d15b3962c,213,1775725154619423338,1775725154639426338,20.003,1.5072637,1477.1693,3072.1606
bb09b488-e875-448b-9801-156d15b3962c,214,1775725154744548338,1775725155765422338,1020.874,5.648248,1807.3408,8619.519
bb09b488-e875-448b-9801-156d15b3962c,215,1775725155855554338,1775725156195927338,340.373,30.454279,2554.811,8403.02
bb09b488-e875-448b-9801-156d15b3962c,216,1775725156325921338,1775725156366047338,40.126,1.7456119,1392.938,2484.8765
bb09b488-e875-448b-9801-156d15b3962c,217,1775725156581175338,1775725157101671338,520.496,27.948418,2734.4868,9505.5
bb09b488-e875-448b-9801-156d15b3962c,218,1775725157236809338,1775725158783295338,1546.486,1.6370089,1360.1617,3107.2944
bb09b488-e875-448b-9801-156d15b3962c,219,1775725158873420338,1775725159774169338,900.749,5.520849,1444.8047,3218.2893
bb09b488-e875-448b-9801-156d15b3962c,220,1775725159849294338,1775725160850168338,1000.874,2.9851766,1331.3809,2837.9028
